Sector,Constituency,Candidate No.,Chin name,Name,Age,Political Affiliation,Incumbent,Occupation,Deputy to National People Congress/member of Chinese People's Political Consultative Conference,image,votes,Elected
EC,Election Committee,22,何君堯,Junius Ho Kwan-yiu,63,,Y,"Lawmaker, solicitor",member of Chinese People's Political Consultative Conference,junius-ho-kwan-yiu.png,1241,Yes
EC,Election Committee,23,馮英倫,Fung Ying-lun,42,,,Company director,,fung-ying-lun.png,988,No
EC,Election Committee,24,林筱魯,Andrew Lam Siu-lo,64,,Y,"Lawmaker, businessman",,andrew-lam-siu-lo.png,1189,Yes
EC,Election Committee,25,陳恒鑌,Ben Chan Han-pan,50,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,"Lawmaker, engineering group vice president",,ben-chan-han-pan.png,1348,Yes
EC,Election Committee,26,曾志文,Linda Tsang Chi-man,58,Hong Kong Federation of Trade Unions,,NGO executive director,,linda-tsang-chi-man.png,793,No
EC,Election Committee,27,劉振江,Lau Chun-kong,62,,,"Surveyor, company director",,lau-chun-kong.png,954,No
EC,Election Committee,28,馬光如,Ma Kwong Yu,50,Hong Kong Federation of Trade Unions,,Executive,member of Chinese People's Political Consultative Conference,ma-kwong-yu.png,934,No
EC,Election Committee,29,何敬康,Adrian Pedro Ho King-hong,48,New People's Party,Y,Lawmaker,,adrian-pedro-ho-king-hong.png,1210,Yes
EC,Election Committee,30,魏明德,Michael Ngai Ming-tak,58,,,Businessman,member of Chinese People's Political Consultative Conference,michael-ngai-ming-tak.png,1345,Yes
EC,Election Committee,31,陳少波,Chen Shaobo,54,,,Thinktank founder,,chen-shaobo.png,937,No
EC,Election Committee,32,范駿華,Andrew Fan Chun-wah ,47,,,Accountant,member of Chinese People's Political Consultative Conference,andrew-fan-chun-wah.png,1155,Yes
EC,Election Committee,33,陳宗彝,Alan Chan Chung-yee,59,,,Chief operations officer,,alan-chan-chung-yee.png,1066,Yes
EC,Election Committee,34,陳凱欣,Chan Hoi-yan,48,,Y,Lawmaker,,chan-hoi-yan.png,1386,Yes
EC,Election Committee,35,梁子穎,Dennis Leung Tsz-wing,52,Hong Kong Federation of Trade Unions,Y,"Lawmaker, teacher",,dennis-leung-tsz-wing.png,1089,Yes
EC,Election Committee,36,葛珮帆,Elizabeth Quat,59,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,Lawmaker,,elizabeth-quat.png,1321,Yes
EC,Election Committee,37,朱立威,Chu Lap-wai,42,Democratic Alliance for the Betterment and Progress of Hong Kong,,District councillor,Deputy to National People Congress,chu-lap-wai.png,1144,Yes
EC,Election Committee,38,陳紹雄,Chan Siu-hung,67,,Y,"Lawmaker, engineer",,chan-siu-hung.png,1273,Yes
EC,Election Committee,39,林琳,Nixie Lam Lam,43,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,Lawmaker,,nixie-lam-lam.png,1160,Yes
EC,Election Committee,40,鄧咏駿,Tang Wing-chun ,49,,,District councillor,,tang-wing-chun.png,954,No
EC,Election Committee,41,莊家彬,Albert Chuang Ka-pun ,45,,,Merchant,,albert-chuang-ka-pun.png,1194,Yes
EC,Election Committee,42,李浩然,Simon Hoey Lee,48,,Y,"Lawmaker, company executive",,simon-hoey-lee.png,1360,Yes
EC,Election Committee,43,林振昇,Lam Chun-sing,44,The Federation of Hong Kong & Kowloon Labour Unions ,Y,"Lawmaker, trade union staff",,lam-chun-sing.png,1311,Yes
EC,Election Committee,44,黃國,Kingsley Wong Kwok,57,Hong Kong Federation of Trade Unions,Y,"Lawmaker, trade unionist",member of Chinese People's Political Consultative Conference,kingsley-wong-kwok.png,1187,Yes
EC,Election Committee,45,黃錦良,Wong Kam-leung,49,Hong Kong Federation of Education Workers ,,Principal,Deputy to National People Congress,wong-kam-leung.png,1201,Yes
EC,Election Committee,46,簡慧敏,Carmen Kan Wai-mun ,57,,Y,"Lawmaker, solicitor and general counsel",,carmen-kan-wai-mun.png,1268,Yes
EC,Election Committee,47,梁美芬,Priscilla Leung Mei-fun,65,Business and Professionals Alliance for Hong Kong,Y,"Lawmaker, barrister and professor of practice",Deputy to National People Congress,priscilla-leung-mei-fun.png,1316,Yes
EC,Election Committee,48,陳曼琪,Maggie Chan Man-ki,56,,Y,"Lawmaker, solicitor",Deputy to National People Congress,maggie-chan-man-ki.png,1311,Yes
EC,Election Committee,49,陳祖光,Chan Cho-kwong,61,,,"Media director, former police officer",,chan-cho-kwong.png,1067,Yes
EC,Election Committee,50,陳仲尼,Rock Chen Chung-nin,59,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,"Lawmaker, investment manager",Deputy to National People Congress,rock-chen-chung-nin.png,1343,Yes
